Á,Aacute
≧̸,NotGreaterFullEqual
≫̸,NotGreaterGreater
≹,NotGreaterLess
⩾̸,NotGreaterSlantEqual
≵,NotGreaterTilde
≎̸,NotHumpDownHump
≏̸,NotHumpEqual
∉,notin
⋵̸,notindot
⋹̸,notinE
∉,notinva
⋷,notinvb
⋶,notinvc
⋪,NotLeftTriangle
⧏̸,NotLeftTriangleBar
⋬,NotLeftTriangleEqual
≮,NotLess
≰,NotLessEqual
≸,NotLessGreater
≪̸,NotLessLess
⩽̸,NotLessSlantEqual
≴,NotLessTilde
⪢̸,NotNestedGreaterGreater
⪡̸,NotNestedLessLess
∌,notni
∌,notniva
⋾,notnivb
⋽,notnivc
⊀,NotPrecedes
⪯̸,NotPrecedesEqual
⋠,NotPrecedesSlantEqual
∌,NotReverseElement
⋫,NotRightTriangle
⧐̸,NotRightTriangleBar
⋭,NotRightTriangleEqual
⊏̸,NotSquareSubset
⋢,NotSquareSubsetEqual
⊐̸,NotSquareSuperset
⋣,NotSquareSupersetEqual
⊂⃒,NotSubset
⊈,NotSubsetEqual
⊁,NotSucceeds
⪰̸,NotSucceedsEqual
⋡,NotSucceedsSlantEqual
≿̸,NotSucceedsTilde
⊃⃒,NotSuperset
⊉,NotSupersetEqual
≁,NotTilde
≄,NotTildeEqual
≇,NotTildeFullEqual
≉,NotTildeTilde
∤,NotVerticalBar
∦,npar
∦,nparallel
⫽⃥,nparsl
∂̸,npart
⨔,npolint
⊀,npr
⋠,nprcue
⪯̸,npre
⊀,nprec
⪯̸,npreceq
⇏,nrArr
↛,nrarr
⤳̸,nrarrc
↝̸,nrarrw
⇏,nRightarrow
↛,nrightarrow
⋫,nrtri
⋭,nrtrie
⊁,nsc
⋡,nsccue
⪰̸,nsce
𝒩,Nscr
𝓃,nscr
∤,nshortmid
∦,nshortparallel
≁,nsim
≄,nsime
≄,nsimeq
∤,nsmid
∦,nspar
⋢,nsqsube
⋣,nsqsupe
⊄,nsub
⫅̸,nsubE
⊈,nsube
⊂⃒,nsubset
⊈,nsubseteq
⫅̸,nsubseteqq
